"","V1","V2","Bin","bin","Database","ARO.Accession","CVTERM.ID","Model.Sequence.ID","Model.ID","Model.Name","ARO.Name","Protein.Accession","DNA.Accession","AMR.Gene.Family","Drug.Class","Resistance.Mechanism","CARD.Short.Name"
"114","IPIHHDOK_02004","gb|NP_215181.1|ARO:3003283|Mtub_rpoB_RIF","4final_SemiBin_13.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_13.fa","CARD-ARGs","ARO:3003283",39867,8799,1237,"Mycobacterium tuberculosis rpoB with mutations conferring resistance to rifampicin","Mycobacterium tuberculosis rpoB with mutations conferring resistance to rifampicin","NP_215181.1","NC_000962.3","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic","antibiotic target alteration;antibiotic target replacement","Mtub_rpoB_RIF"
"115","IPIHHDOK_02769","gb|CAG39573.1|ARO:3003735|Saur_fusA_FA","4final_SemiBin_13.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_13.fa","CARD-ARGs","ARO:3003735",40390,3510,2254,"Staphylococcus aureus fusA with mutation conferring resistance to fusidic acid","Staphylococcus aureus fusA with mutation conferring resistance to fusidic acid","CAG39573.1","BX571856.1","antibiotic resistant fusA","fusidane antibiotic","antibiotic target alteration","Saur_fusA_FA"
"116","AKCAKPKC_01066","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","4final_SemiBin_17.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_17.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"117","DBLDMNEL_01861","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","4final_SemiBin_23.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_23.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"118","KJGHNCML_00202","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","4final_SemiBin_24.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_24.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"119","KJGHNCML_00205","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_24.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_24.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"120","KJGHNCML_02411","gb|NP_215821.1|ARO:3007854|Mtub_atpE_BDQ","4final_SemiBin_24.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_24.fa","CARD-ARGs","ARO:3007854",46644,8894,6071,"Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","NP_215821.1","NC_000962.3","antibiotic resistant ATP synthase","diarylquinoline antibiotic","antibiotic target alteration","Mtub_atpE_BDQ"
"121","ODFCIBKI_01233","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_25.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_25.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"122","ODFCIBKI_02768","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","4final_SemiBin_25.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_25.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"123","ODFCIBKI_02807","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","4final_SemiBin_25.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_25.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"124","PCLPKCNA_00665","gb|AHA41504.1|ARO:3002941|vanS_in_vanO_cl","4final_SemiBin_27.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_27.fa","CARD-ARGs","ARO:3002941",39375,4550,465,"vanS gene in vanO cluster","vanS gene in vanO cluster","AHA41504.1","KF478993.1","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic","antibiotic target alteration","vanS_in_vanO_cl"
"125","KGJCHJPN_00267","gb|NP_215821.1|ARO:3007854|Mtub_atpE_BDQ","4final_SemiBin_28.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_28.fa","CARD-ARGs","ARO:3007854",46644,8894,6071,"Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","NP_215821.1","NC_000962.3","antibiotic resistant ATP synthase","diarylquinoline antibiotic","antibiotic target alteration","Mtub_atpE_BDQ"
"126","KGJCHJPN_00685","gb|ADK17136.1|ARO:3004563|Cdif_rpoB_RIF","4final_SemiBin_28.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_28.fa","CARD-ARGs","ARO:3004563",42470,5315,3269,"Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","ADK17136.1","CP001666.1","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic","antibiotic target alteration;antibiotic target replacement","Cdif_rpoB_RIF"
"127","KGJCHJPN_00690","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_28.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_28.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"128","KGJCHJPN_01721","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","4final_SemiBin_28.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_28.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"129","ANBECHAL_00320","gb|ABC24999.1|ARO:3007476|Mabs_atpE_BDQ","4final_SemiBin_29.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_29.fa","CARD-ARGs","ARO:3007476",46243,8682,5960,"Mycobacterium abscessus atpE with mutation conferring resistance to bedaquiline","Mycobacterium abscessus atpE with mutation conferring resistance to bedaquiline","ABC24999.1","DQ306899.1","antibiotic resistant ATP synthase","diarylquinoline antibiotic","antibiotic target alteration","Mabs_atpE_BDQ"
"130","IOIDKICC_00131","gb|NP_216424.1|ARO:3003392|Mtub_katG_INH","4final_SemiBin_30.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_30.fa","CARD-ARGs","ARO:3003392",39976,8833,1176,"Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid","Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid","NP_216424.1","NC_000962.3","isoniazid resistant katG","isoniazid-like antibiotic","antibiotic target alteration","Mtub_katG_INH"
"131","IOIDKICC_01663","gb|NP_216559.1|ARO:3003394|Mtub_pncA_PZA","4final_SemiBin_30.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_30.fa","CARD-ARGs","ARO:3003394",39978,8786,851,"Mycobacterium tuberculosis pncA mutations conferring resistance to pyrazinamide","Mycobacterium tuberculosis pncA mutations conferring resistance to pyrazinamide","NP_216559.1","NC_000962.3","Pyrazinamide resistant pncA","pyrazine antibiotic","antibiotic target alteration","Mtub_pncA_PZA"
"132","IOIDKICC_02400","gb|ABK64957.1|ARO:3007473|Mavi_gyrA_FLO","4final_SemiBin_30.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_30.fa","CARD-ARGs","ARO:3007473",46239,8678,5956,"Mycobacterium avium gyrA with mutation conferring resistance to fluoroquinolone","Mycobacterium avium gyrA with mutation conferring resistance to fluoroquinolone","ABK64957.1","CP000479.1","fluoroquinolone resistant gyrA","fluoroquinolone antibiotic;nybomycin-like antibiotic","antibiotic target alteration","Mavi_gyrA_FLO"
"133","IOIDKICC_02628","gb|NP_215999.1|ARO:3004922|Mtub_fabG1_INH","4final_SemiBin_30.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_30.fa","CARD-ARGs","ARO:3004922",43108,8815,3724,"Mycobacterium tuberculosis fabG1 mutations confer resistance to isoniazid","Mycobacterium tuberculosis fabG1 mutations confer resistance to isoniazid","NP_215999.1","NC_000962.3","isoniazid resistant fabG1","isoniazid-like antibiotic","antibiotic target alteration","Mtub_fabG1_INH"
"134","IOMNIJFH_01481","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_32.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_32.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"135","IOMNIJFH_02381","gb|AJP09758.1|ARO:3004681|Cdif_rpoC_VAN","4final_SemiBin_32.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_32.fa","CARD-ARGs","ARO:3004681",42730,5565,3380,"Clostridioides difficile rpoC with mutation conferring resistance to vancomycin","Clostridioides difficile rpoC with mutation conferring resistance to vancomycin","AJP09758.1","CP010905.2","vancomycin-resistant beta prime subunit of RNA polymerase (rpoC)","glycopeptide antibiotic","antibiotic target alteration","Cdif_rpoC_VAN"
"136","IOMNIJFH_02554","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","4final_SemiBin_32.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_32.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"137","KPDBJBJB_01053","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","4final_SemiBin_33.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_33.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"138","DDHFCCOP_00027","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","4final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_34.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"139","DDHFCCOP_00403","gb|NP_215181.1|ARO:3003283|Mtub_rpoB_RIF","4final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_34.fa","CARD-ARGs","ARO:3003283",39867,8799,1237,"Mycobacterium tuberculosis rpoB with mutations conferring resistance to rifampicin","Mycobacterium tuberculosis rpoB with mutations conferring resistance to rifampicin","NP_215181.1","NC_000962.3","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic","antibiotic target alteration;antibiotic target replacement","Mtub_rpoB_RIF"
"140","DDHFCCOP_00405","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_34.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"141","DDHFCCOP_00408","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","4final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_34.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"142","DDHFCCOP_00541","gb|NP_216146.1|ARO:3004721|Mtub_rpsA_PZA","4final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_34.fa","CARD-ARGs","ARO:3004721",42776,8802,3403,"Mycobacterium tuberculosis rpsA mutations conferring resistance to pyrazinamide","Mycobacterium tuberculosis rpsA mutations conferring resistance to pyrazinamide","NP_216146.1","NC_000962.3","pyrazinamide resistant rpsA","pyrazine antibiotic","antibiotic target alteration","Mtub_rpsA_PZA"
"143","DDHFCCOP_00605","gb|CCA59315.1|ARO:3007208|HelR","4final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_34.fa","CARD-ARGs","ARO:3007208",45952,8511,5819,"HelR","HelR","CCA59315.1","FR845719.1","helicase-like RNA polymerase protection protein","rifamycin antibiotic","antibiotic target protection","HelR"
"144","DDHFCCOP_00613","gb|NP_217974.1|ARO:3004999|Mtub_rpoA_RIF","4final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_34.fa","CARD-ARGs","ARO:3004999",43186,8797,3747,"Mycobacterium tuberculosis rpoA mutations confer resistance to rifampicin","Mycobacterium tuberculosis rpoA mutations confer resistance to rifampicin","NP_217974.1","NC_000962.3","rifampicin resistant rpoA","rifamycin antibiotic","antibiotic target alteration","Mtub_rpoA_RIF"
"145","DDHFCCOP_00705","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","4final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_34.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"146","PIELPGML_00059","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","4final_SemiBin_40.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_40.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"147","IIMKLKLE_00387","gb|ADK17136.1|ARO:3004563|Cdif_rpoB_RIF","4final_SemiBin_42.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_42.fa","CARD-ARGs","ARO:3004563",42470,5315,3269,"Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","ADK17136.1","CP001666.1","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic","antibiotic target alteration;antibiotic target replacement","Cdif_rpoB_RIF"
"148","IIMKLKLE_01575","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_42.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_42.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"149","IIMKLKLE_03279","gb|CAA67349.1|ARO:3003359|Scin_EFTu_ELF","4final_SemiBin_42.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_42.fa","CARD-ARGs","ARO:3003359",39943,3578,2310,"Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin","Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin","CAA67349.1","X98831.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Scin_EFTu_ELF"
"150","ALKNGLEF_00193","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_44.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_44.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"151","ALKNGLEF_00759","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","4final_SemiBin_44.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_44.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"152","HMKFAGCP_00620","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","4final_SemiBin_45.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_45.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"153","HMKFAGCP_02007","gb|AHA41505.1|ARO:3002930|vanR_in_vanO_cl","4final_SemiBin_45.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_45.fa","CARD-ARGs","ARO:3002930",39364,4685,1689,"vanR gene in vanO cluster","vanR gene in vanO cluster","AHA41505.1","KF478993.1","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic","antibiotic target alteration","vanR_in_vanO_cl"
"154","FJOFOJDL_00299","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","4final_SemiBin_46.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_46.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"155","DMPCBKMI_02966","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_47.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_47.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"156","DMPCBKMI_02983","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","4final_SemiBin_47.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_47.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"157","ABFBMEPL_02745","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","4final_SemiBin_5.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_5.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"158","MOADAOIH_01918","gb|CCA59315.1|ARO:3007208|HelR","4final_SemiBin_51.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_51.fa","CARD-ARGs","ARO:3007208",45952,8511,5819,"HelR","HelR","CCA59315.1","FR845719.1","helicase-like RNA polymerase protection protein","rifamycin antibiotic","antibiotic target protection","HelR"
"159","MOADAOIH_05213","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","4final_SemiBin_51.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_51.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"160","MOADAOIH_05627","gb|AEZ36150.1|ARO:3000448|QepA1","4final_SemiBin_51.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_51.fa","CARD-ARGs","ARO:3000448",36587,398,1206,"QepA1","QepA1","AEZ36150.1","JQ064560.1","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic","antibiotic efflux","QepA1"
"161","MOADAOIH_05693","gb|NP_216146.1|ARO:3004721|Mtub_rpsA_PZA","4final_SemiBin_51.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_51.fa","CARD-ARGs","ARO:3004721",42776,8802,3403,"Mycobacterium tuberculosis rpsA mutations conferring resistance to pyrazinamide","Mycobacterium tuberculosis rpsA mutations conferring resistance to pyrazinamide","NP_216146.1","NC_000962.3","pyrazinamide resistant rpsA","pyrazine antibiotic","antibiotic target alteration","Mtub_rpsA_PZA"
"162","MOADAOIH_05948","gb|NP_216424.1|ARO:3003392|Mtub_katG_INH","4final_SemiBin_51.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_51.fa","CARD-ARGs","ARO:3003392",39976,8833,1176,"Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid","Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid","NP_216424.1","NC_000962.3","isoniazid resistant katG","isoniazid-like antibiotic","antibiotic target alteration","Mtub_katG_INH"
"163","IILIPKLO_02578","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_6.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_6.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"164","JHCNENAM_00598","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","5final_SemiBin_0.fa_PROKKA_07062024.faa.CARDbins.txt","5final_SemiBin_0.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"165","JHCNENAM_02587","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","5final_SemiBin_0.fa_PROKKA_07062024.faa.CARDbins.txt","5final_SemiBin_0.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"166","IHAEGOAK_00407","gb|NP_215821.1|ARO:3007854|Mtub_atpE_BDQ","5final_SemiBin_13.fa_PROKKA_07062024.faa.CARDbins.txt","5final_SemiBin_13.fa","CARD-ARGs","ARO:3007854",46644,8894,6071,"Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","NP_215821.1","NC_000962.3","antibiotic resistant ATP synthase","diarylquinoline antibiotic","antibiotic target alteration","Mtub_atpE_BDQ"
"167","IHAEGOAK_01632","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","5final_SemiBin_13.fa_PROKKA_07062024.faa.CARDbins.txt","5final_SemiBin_13.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
